gene	coord	86minua2_CAST	86minua2_129S1	86minua2_total	86minua2_CAST/all	86minua2_htseqCount
Cap1	chr4:122862623-122862746	109	151	260	0.419231	999
Capg	chr6:72558165-72558257	20	23	43	0.465116	56
Capn1	chr19:6014201-6014468	108	69	177	0.610169	279
Capn5	chr7:98135760-98135968	37	25	62	0.596774	214
Capn7	chr14:31370878-31371983	14	32	46	0.304348	278
Capns1	chr7:30195006-30195048	1524	2309	3833	0.3976	3350
Caprin1	chr2:103797463-103797640	248	304	552	0.449275	3754
Caprin2	chr6:148876453-148876535	30	29	59	0.508475	222
Capsl	chr15:9461657-9461834	4	17	21	0.190476	42
Capza1	chr3:104822785-104825124	26	31	57	0.45614	1257
Capza2	chr6:17665295-17666536	122	133	255	0.478431	1045
Car13	chr3:14661455-14663002	54	48	102	0.529412	205
Car2	chr3:14899971-14900770	0	95	95	0	216
Car5b	chrX:163976822-163979370	0	10	10	0	6
Card10	chr15:78775136-78776830	4	6	10	0.4	57
Carhsp1	chr16:8658587-8661103	49	75	124	0.395161	249
Carkd	chr8:11512895-11513286	20	32	52	0.384615	121
Carm1	chr9:21588049-21589465	20	12	32	0.625	543
Cars	chr7:143592412-143592660	113	107	220	0.513636	611
Cars2	chr8:11550499-11550771	76	75	151	0.503311	184
Casc3	chr11:98832261-98833807	20	16	36	0.555556	343
Casc4	chr2:121933478-121936207	111	84	195	0.569231	741
Casc5	chr2:119068123-119072619	49	36	85	0.576471	378
Casd1	chr6:4641852-4643381	4	4	8	0.5	78
Casp2	chr6:42280346-42282496	18	42	60	0.3	134
Casp3	chr8:46637919-46639698	258	177	435	0.593103	398
Casp6	chr3:129913332-129914102	36	19	55	0.654545	95
Casp7	chr19:56440866-56442343	0	11	11	0	75
Casp8ap2	chr4:32643540-32646660	70	66	136	0.514706	564
Casp9	chr4:141813595-141815978	110	124	234	0.470085	188
Cast	chr13:74739837-74739935	55	62	117	0.470085	266
Cat	chr2:103484973-103485153	164	133	297	0.552189	365
Cbfa2t2	chr2:154534884-154539356	150	114	264	0.568182	559
Cbfb	chr8:105215904-105217988	66	34	100	0.66	549
Cbl	chr9:44158514-44158891	16	6	22	0.727273	134
Cblb	chr16:52204433-52208046	11	6	17	0.647059	100
Cbll1	chr12:31492079-31492179	57	22	79	0.721519	229
Cbr1	chr16:93609795-93610349	155	76	231	0.670996	255
Cbr3	chr16:93690328-93690991	12	71	83	0.144578	201
Cbr4	chr8:61503033-61503500	16	31	47	0.340426	64
Cbs	chr17:31632828-31633154	100	40	140	0.714286	158
Cbwd1	chr19:24961317-24961616	43	49	92	0.467391	232
Cbx3	chr6:51482480-51483704	294	310	604	0.486755	2358
Cbx5	chr15:103191546-103199791	190	233	423	0.449173	2185
Cbx6	chr15:79823898-79828978	11	22	33	0.333333	226
Cbx7	chr15:79921372-79921438	515	605	1120	0.459821	704
Cby1	chr15:79666988-79667660	22	26	48	0.458333	71
Cc2d1a	chr8:84144109-84144221	18	8	26	0.692308	231
Cc2d1b	chr4:108633523-108634122	102	85	187	0.545455	401
Ccar1	chr10:62776849-62776963	128	103	231	0.554113	837
Ccar2	chr14:70139760-70139871	5	6	11	0.454545	140
Ccbl1	chr2:30187689-30187817	17	5	22	0.772727	67
Ccbl2	chr3:142726182-142726302	7	15	22	0.318182	88
Ccdc104	chr11:29244059-29244160	3	8	11	0.272727	221
Ccdc107	chr4:43495697-43495921	11	35	46	0.23913	73
Ccdc112	chr18:46299274-46299395	28	21	49	0.571429	102
Ccdc115	chr1:34436670-34437610	26	30	56	0.464286	212
Ccdc117	chr11:5534765-5534989	43	34	77	0.558442	290
Ccdc12	chr9:110711251-110711593	35	42	77	0.454545	155
Ccdc120	chrX:7731714-7734098	6	5	11	0.545455	91
Ccdc124	chr8:70868933-70869107	106	42	148	0.716216	448
Ccdc127	chr13:74356456-74359668	46	59	105	0.438095	219
Ccdc130	chr8:84257767-84258926	9	2	11	0.818182	65
Ccdc132	chr6:3601368-3603531	46	43	89	0.516854	432
Ccdc137	chr11:120462265-120464353	24	18	42	0.571429	87
Ccdc14	chr16:34723010-34725194	107	114	221	0.484163	286
Ccdc160	chrX:52798059-52799468	13	20	33	0.393939	97
Ccdc163	chr4:116712723-116712826	8	7	15	0.533333	46
Ccdc174	chr6:91898147-91898299	47	34	81	0.580247	132
Ccdc18	chr5:108220698-108220898	10	2	12	0.833333	272
Ccdc181	chr1:164286241-164286395	4	7	11	0.363636	54
Ccdc186	chr19:56812995-56813683	6	6	12	0.5	55
Ccdc22	chrX:7600621-7600753	35	21	56	0.625	254
Ccdc25	chr14:65865130-65866604	69	50	119	0.579832	268
Ccdc28a	chr10:18219488-18219642	24	5	29	0.827586	57
Ccdc34	chr2:110044187-110045325	23	16	39	0.589744	234
Ccdc43	chr11:102688801-102688859	66	87	153	0.431373	467
Ccdc47	chr11:106216149-106216367	139	176	315	0.44127	578
Ccdc50	chr16:27446248-27452218	71	33	104	0.682692	334
Ccdc53	chr10:88245756-88246158	157	65	222	0.707207	252
Ccdc55	chr11:77076654-77076744	136	129	265	0.513208	312
Ccdc59	chr10:105847017-105847510	52	64	116	0.448276	187
Ccdc6	chr10:70189078-70193200	27	22	49	0.55102	321
Ccdc61	chr7:18903782-18903939	14	28	42	0.333333	119
Ccdc64	chr5:115673080-115673196	8	2	10	0.8	39
Ccdc66	chr14:27491788-27491949	3	5	8	0.375	186
Ccdc68	chr18:69961460-69961543	4	12	16	0.25	48
Ccdc71	chr9:108462938-108465945	77	75	152	0.506579	207
Ccdc77	chr6:120364086-120364369	60	49	109	0.550459	201
Ccdc84	chr9:44410164-44410364	11	11	22	0.5	167
Ccdc86	chr19:10943478-10943552	51	37	88	0.579545	181
Ccdc88a	chr11:29507125-29507223	22	26	48	0.458333	279
Ccdc88c	chr12:100967808-100967992	133	78	211	0.630332	365
Ccdc9	chr7:16286700-16286795	14	10	24	0.583333	132
Ccdc90b	chr7:92567622-92567741	11	18	29	0.37931	126
Ccdc91	chr6:147631575-147632612	20	35	55	0.363636	118
Ccdc97	chr7:25711117-25713113	8	4	12	0.666667	135
Cchcr1	chr17:35530701-35531015	12	18	30	0.4	105
Ccl9	chr11:83575843-83575951	17	12	29	0.586207	35
Ccm2	chr11:6596081-6596761	34	30	64	0.53125	229
Ccna2	chr3:36568588-36568811	189	225	414	0.456522	1380
Ccnb1	chr13:100783465-100783647	728	605	1333	0.546137	3679
Ccnb2	chr9:70418794-70418907	88	75	163	0.539877	744
Ccnc	chr4:21759425-21759922	94	73	167	0.562874	392
Ccnd1	chr7:144939496-144939925	98	73	171	0.573099	900
Ccnd3	chr17:47598609-47599688	71	53	124	0.572581	2219
Ccndbp1	chr2:121016399-121016912	3	7	10	0.3	163
Ccne1	chr7:38107322-38107490	126	155	281	0.448399	849
Ccne2	chr4:11202985-11204779	22	27	49	0.44898	230
Ccnf	chr17:24237081-24237232	220	266	486	0.452675	1044
Ccng1	chr11:40753808-40754068	442	426	868	0.509217	2261
Ccnh	chr13:85212740-85213723	224	182	406	0.551724	401
Ccni	chr5:93205914-93206495	70	72	142	0.492958	830
Ccnk	chr12:108202076-108203359	42	21	63	0.666667	367
Ccnl1	chr3:65957808-65958225	40	54	94	0.425532	350
Ccnl2	chr4:155823343-155824543	94	108	202	0.465347	437
Ccnt1	chr15:98543211-98544608	11	10	21	0.52381	114
Ccnt2	chr1:127802162-127804837	28	43	71	0.394366	392
Ccny	chr18:9345414-9345471	83	61	144	0.576389	426
Ccnyl1	chr1:64723523-64725642	38	41	79	0.481013	259
Ccp110	chr7:118735268-118737018	123	144	267	0.460674	405
Ccpg1	chr9:73011930-73013938	49	66	115	0.426087	296
Ccrn4l	chr3:51249697-51251654	13	51	64	0.203125	129
Ccs	chr19:4839197-4839322	41	45	86	0.476744	237
Ccser2	chr14:36874936-36879762	7	3	10	0.7	207
Cct2	chr10:117063706-117063814	311	383	694	0.448127	4053
Cct4	chr11:23003137-23003336	511	451	962	0.531185	4368
Cct5	chr15:31597411-31597575	449	445	894	0.502237	5060
Cct6a	chr5:129845748-129846443	445	455	900	0.494444	5058
Cct8	chr16:87495729-87495869	58	87	145	0.4	5602
Ccz1	chr5:144014699-144014853	110	101	211	0.521327	493
Cd151	chr7:141470551-141471481	177	89	266	0.665414	398
Cd164	chr10:41528672-41531042	38	39	77	0.493506	1261
Cd247	chr1:165869018-165871153	22	13	35	0.628571	129
Cd24a	chr10:43582604-43584265	42	78	120	0.35	271
Cd276	chr9:58530596-58530730	36	6	42	0.857143	62
Cd2ap	chr17:42876313-42876424	83	82	165	0.50303	792
Cd2bp2	chr7:127195023-127195158	206	192	398	0.517588	698
Cd320	chr17:33848286-33849774	48	40	88	0.545455	240
Cd38	chr5:43910280-43912374	34	209	243	0.139918	193
Cd3eap	chr7:19356009-19358016	52	47	99	0.525253	185
Cd55	chr1:130449417-130449563	12	13	25	0.48	91
Cd59a	chr2:104113975-104115410	9	21	30	0.3	47
Cd81	chr7:143067312-143067930	160	226	386	0.414508	1495
Cd84	chr1:171888598-171890718	36	12	48	0.75	543
Cd9	chr6:125494574-125494755	73	49	122	0.598361	2087
Cd97	chr8:83741107-83741311	188	118	306	0.614379	899
Cd99l2	chrX:71420060-71422749	6	4	10	0.6	96
Cdc123	chr2:5821276-5821382	251	204	455	0.551648	583
Cdc16	chr8:13781372-13781882	214	161	375	0.570667	788
Cdc20	chr4:118436941-118437343	181	145	326	0.555215	957
Cdc23	chr18:34651547-34651736	135	146	281	0.480427	882
Cdc25a	chr9:109892079-109893890	197	188	385	0.511688	655
Cdc25b	chr2:131197229-131198511	9	8	17	0.529412	132
Cdc25c	chr18:34751314-34751533	48	41	89	0.539326	130
Cdc26	chr4:62404456-62404552	23	45	68	0.338235	214
Cdc27	chr11:104536595-104536670	74	127	201	0.368159	577
Cdc34	chr10:79687849-79688398	115	135	250	0.46	1236
Cdc37	chr9:21149756-21149906	241	240	481	0.50104	1384
Cdc37l1	chr19:29016006-29017569	17	23	40	0.425	301
Cdc40	chr10:40857547-40857676	201	158	359	0.559889	446
Cdc42	chr4:137357646-137357759	399	458	857	0.465578	1887
Cdc42bpb	chr12:111327416-111327616	188	93	281	0.669039	810
Cdc42bpg	chr19:6324517-6325652	8	10	18	0.444444	242
Cdc42ep3	chr17:79334025-79335716	11	9	20	0.55	82
Cdc42ep4	chr11:113726850-113729665	97	94	191	0.507853	247
Cdc42ep5	chr7:4151260-4151787	9	15	24	0.375	73
Cdc42se1	chr3:95234250-95236424	45	32	77	0.584416	430
Cdc42se2	chr11:54787560-54787703	364	268	632	0.575949	521
Cdc45	chr16:18795825-18795944	14	20	34	0.411765	559
Cdc5l	chr17:45433391-45433707	294	491	785	0.374522	1742
Cdc6	chr11:98921116-98923942	128	157	285	0.449123	426
Cdc7	chr5:106982964-106984439	53	67	120	0.441667	221
Cdc73	chr1:143607499-143608557	4	10	14	0.285714	265
Cdca2	chr14:67714683-67714856	119	126	245	0.485714	408
Cdca3	chr6:124832985-124833701	105	106	211	0.49763	1237
Cdca4	chr12:112820235-112822112	155	102	257	0.603113	481
Cdca5	chr19:6090648-6091773	76	81	157	0.484076	363
Cdca7	chr2:72485720-72486890	180	171	351	0.512821	1110
Cdca7l	chr12:117877467-117878706	90	33	123	0.731707	224
Cdca8	chr4:124936355-124936483	322	282	604	0.533113	730
Cdh1	chr8:106668406-106670246	1026	481	1507	0.680823	2849
Cdh11	chr8:102679612-102680011	0	16	16	0	69
Cdh16	chr8:104601915-104602228	1	15	16	0.0625	15
Cdh3	chr8:106552389-106552519	27	13	40	0.675	103
Cdip1	chr16:4789831-4789935	19	9	28	0.678571	412
Cdipt	chr7:126979535-126980501	58	68	126	0.460317	275
Cdk1	chr10:69350096-69350158	482	452	934	0.51606	2007
Cdk10	chr8:123231634-123232256	11	4	15	0.733333	208
Cdk11b	chr4:155649692-155649932	116	169	285	0.407018	512
Cdk12	chr11:98249683-98253540	21	20	41	0.512195	371
Cdk13	chr13:17719356-17719805	31	39	70	0.442857	390
Cdk16	chrX:20698609-20699877	65	61	126	0.515873	1036
Cdk17	chr10:93239588-93241342	51	46	97	0.525773	139
Cdk2	chr10:128697939-128699210	121	110	231	0.52381	587
Cdk2ap1	chr5:124354317-124354628	27	14	41	0.658537	639
Cdk2ap2	chr19:4098498-4099017	16	24	40	0.4	105
Cdk4	chr10:127066929-127067282	726	623	1349	0.538176	3718
Cdk5rap1	chr2:154368812-154368915	14	12	26	0.538462	146
Cdk5rap2	chr4:70401245-70401312	50	63	113	0.442478	279
Cdk5rap3	chr11:96912217-96912395	99	97	196	0.505102	476
Cdk7	chr13:100730774-100730942	172	137	309	0.556634	638
Cdk8	chr5:146301576-146302874	14	8	22	0.636364	273
Cdk9	chr2:32705782-32708289	14	11	25	0.56	532
Cdkal1	chr13:29849939-29850108	28	21	49	0.571429	110
Cdkn1a	chr17:29099344-29100722	348	365	713	0.488079	772
Cdkn1b	chr6:134924243-134925525	21	16	37	0.567568	168
Cdkn2a	chr4:89294334-89294619	6	12	18	0.333333	85
Cdkn2aip	chr8:47709344-47712294	26	33	59	0.440678	168
Cdkn2aipnl	chr11:51975900-51977336	80	135	215	0.372093	365
Cdkn2d	chr9:21288464-21289332	22	16	38	0.578947	78
Cdo1	chr18:46727973-46728342	23	11	34	0.676471	153
Cdr2	chr7:120957037-120958797	19	16	35	0.542857	101
Cdr2l	chr11:115393346-115396132	6	2	8	0.75	54
Cds2	chr2:132305153-132312050	464	280	744	0.623656	965
Cdt1	chr8:122572494-122573130	927	520	1447	0.640636	1218
Cdv3	chr9:103365054-103365780	216	255	471	0.458599	2426
Cdx1	chr18:61020374-61020519	50	54	104	0.480769	170
Cdyl	chr13:35872512-35874064	55	55	110	0.5	241
Cdyl2	chr8:116623784-116624366	97	75	172	0.563953	372
Cebpd	chr16:15887286-15889545	16	5	21	0.761905	53
Cebpg	chr7:35046422-35050932	7	10	17	0.411765	108
Cebpz	chr17:78934575-78936067	355	333	688	0.515988	1222
Cebpzos	chr17:78919977-78921048	91	121	212	0.429245	391
Cecr2	chr6:120766412-120771191	28	28	56	0.5	290
Cecr5	chr6:120531167-120531299	108	76	184	0.586957	217
Celf1	chr2:91013491-91019497	52	36	88	0.590909	1470
Celsr1	chr15:85963084-85963306	15	16	31	0.483871	226
Cenpa	chr5:30674038-30674826	181	180	361	0.501385	578
Cenpb	chr2:131177289-131180012	29	36	65	0.446154	584
Cenpc1	chr5:86046379-86046580	41	55	96	0.427083	283
Cenpe	chr3:135273151-135273540	297	203	500	0.594	748
Cenpf	chr1:189683768-189683964	236	178	414	0.570048	931
Cenph	chr13:100775687-100775899	120	293	413	0.290557	368
Cenpi	chrX:134347225-134347360	24	27	51	0.470588	545
Cenpk	chr13:104242746-104242872	19	17	36	0.527778	133
Cenpl	chr1:161078229-161078480	23	22	45	0.511111	172
Cenpm	chr15:82239293-82239384	120	128	248	0.483871	291
Cenpn	chr8:116940835-116941503	231	88	319	0.724138	391
Cenpo	chr12:4233752-4234294	67	43	110	0.609091	296
Cenpp	chr13:49652583-49652731	37	29	66	0.560606	158
Cenpq	chr17:40931650-40931776	13	15	28	0.464286	198
Cenpt	chr8:105846316-105846391	32	14	46	0.695652	374
Cenpu	chr8:46578255-46579584	69	69	138	0.5	245
Cenpw	chr10:30200361-30200540	34	52	86	0.395349	204
Cep104	chr4:153996272-153996338	7	5	12	0.583333	93
Cep120	chr18:53744282-53744347	36	38	74	0.486486	195
Cep128	chr12:91294034-91294166	71	24	95	0.747368	205
Cep131	chr11:120071359-120071535	4	6	10	0.4	58
Cep135	chr5:76644632-76646466	19	22	41	0.463415	183
Cep162	chr9:87211657-87211820	8	7	15	0.533333	88
Cep164	chr9:45794052-45794429	66	76	142	0.464789	299
Cep170	chr1:176755166-176756983	11	6	17	0.647059	177
Cep170b	chr12:112744665-112746591	107	32	139	0.769784	407
Cep192	chr18:67884739-67885170	161	202	363	0.443526	732
Cep250	chr2:155998168-155998900	15	4	19	0.789474	258
Cep41	chr6:30653457-30655850	3	7	10	0.3	76
Cep44	chr8:56547388-56547524	152	125	277	0.548736	191
Cep55	chr19:38073298-38074425	281	457	738	0.380759	760
Cep57	chr9:13826542-13827107	27	51	78	0.346154	420
Cep57l1	chr10:41809573-41809663	91	72	163	0.558282	377
Cep68	chr11:20241886-20242238	38	51	89	0.426966	193
Cep70	chr9:99296276-99296444	20	14	34	0.588235	245
Cep72	chr13:74054883-74054991	16	26	42	0.380952	172
Cep76	chr18:67637139-67637363	11	15	26	0.423077	128
Cep78	chr19:15984613-15984989	173	140	313	0.552716	303
Cep83	chr10:94789704-94790336	33	40	73	0.452055	397
Cep85	chr4:134138835-134138928	67	77	144	0.465278	385
Cep89	chr7:35438328-35438684	46	47	93	0.494624	145
Cep95	chr11:106818534-106818861	22	24	46	0.478261	84
Cep97	chr16:55930466-55930608	8	7	15	0.533333	132
Cept1	chr3:106504526-106504651	19	14	33	0.575758	306
Cers2	chr3:95322649-95323568	24	31	55	0.436364	256
Cers4	chr8:4523604-4526079	21	4	25	0.84	150
Cers5	chr15:99772183-99772515	46	32	78	0.589744	379
Cetn2	chrX:72913565-72914293	18	22	40	0.45	485
Cetn3	chr13:81796654-81797157	7	23	30	0.233333	491
Cfap20	chr8:95420250-95420669	28	5	33	0.848485	407
Cfap97	chr8:46192585-46195590	11	5	16	0.6875	117
Cfdp1	chr8:111768473-111768787	385	203	588	0.654762	1989
Cfl1	chr19:5493381-5494031	364	417	781	0.466069	5225
Cfl2	chr12:54861526-54861833	200	76	276	0.724638	755
Cfp	chrX:20929596-20929771	12	5	17	0.705882	98
Cggbp1	chr16:64855551-64859491	174	280	454	0.38326	955
Cgnl1	chr9:71626509-71629392	7	6	13	0.538462	108
Cgref1	chr5:30933143-30933988	3	6	9	0.333333	46
Chaf1a	chr17:56067407-56068026	66	68	134	0.492537	494
Chaf1b	chr16:93905905-93906106	240	341	581	0.413081	550
Champ1	chr8:13877798-13881639	47	43	90	0.522222	297
Chchd1	chr14:20704121-20704425	8	10	18	0.444444	540
Chchd10	chr10:75937575-75937734	409	386	795	0.514465	1377
Chchd2	chr5:129887198-129887470	222	134	356	0.623596	1550
Chchd3	chr6:32792227-32792926	43	53	96	0.447917	846
Chchd4	chr6:91473316-91473423	81	120	201	0.402985	527
Chchd5	chr2:129133275-129134111	5	5	10	0.5	233
Chchd6	chr6:89567587-89567731	18	9	27	0.666667	64
Chchd7	chr4:3939379-3939526	15	4	19	0.789474	119
Chd1	chr17:15769978-15772612	103	91	194	0.530928	613
Chd1l	chr3:97610063-97610190	72	74	146	0.493151	294
Chd2	chr7:73499594-73499772	57	67	124	0.459677	495
Chd3	chr11:69343273-69344478	7	6	13	0.538462	162
Chd4	chr6:125129820-125130501	249	342	591	0.42132	1670
Chd6	chr2:160946978-160950187	32	21	53	0.603774	281
Chd8	chr14:52236730-52237572	56	26	82	0.682927	487
Chd9	chr8:91051103-91054508	76	33	109	0.697248	450
Chek1	chr9:36719504-36719692	42	66	108	0.388889	647
Chek2	chr5:110873480-110874133	27	37	64	0.421875	165
Cherp	chr8:72469864-72470015	188	89	277	0.6787	894
Chfr	chr5:110170862-110171973	209	190	399	0.52381	475
Chic1	chrX:103389460-103396118	24	18	42	0.571429	214
Chic2	chr5:75006424-75006763	8	11	19	0.421053	110
Chid1	chr7:141532819-141532973	26	25	51	0.509804	143
Chka	chr19:3884472-3884585	4	8	12	0.333333	226
Chkb	chr15:89426349-89426661	4	4	8	0.5	0
Chm	chrX:113116016-113116430	26	33	59	0.440678	688
Chmp1a	chr8:123207473-123207601	719	377	1096	0.656022	836
Chmp1b	chr18:67205359-67207887	48	30	78	0.615385	346
Chmp2b	chr16:65562475-65562697	50	39	89	0.561798	260
Chmp3	chr6:71579641-71581574	188	294	482	0.390041	630
Chmp4b	chr2:154693944-154694783	55	42	97	0.56701	609
Chmp4c	chr3:10389912-10391005	26	90	116	0.224138	202
Chmp5	chr4:40960859-40960971	78	56	134	0.58209	560
Chmp6	chr11:119918607-119919552	41	42	83	0.493976	162
Chmp7	chr14:69732191-69732570	37	29	66	0.560606	347
Chn1	chr2:73610660-73613196	3	5	8	0.375	103
Chordc1	chr9:18312778-18314000	51	66	117	0.435897	619
Chp1	chr2:119585107-119587022	8	45	53	0.150943	293
Chpf	chr1:75477245-75477818	19	12	31	0.612903	80
Chpt1	chr10:88488382-88488523	4	4	8	0.5	121
Chsy1	chr7:66170832-66173798	19	19	38	0.5	131
Chtf18	chr17:25726701-25726848	58	102	160	0.3625	309
Chtf8	chr8:106883863-106886526	43	13	56	0.767857	777
Chtop	chr3:90506108-90507626	76	83	159	0.477987	1231
Chuk	chr19:44082586-44082695	67	87	154	0.435065	454
Churc1	chr12:76782813-76783178	31	49	80	0.3875	270
Ciao1	chr2:127247482-127247816	18	17	35	0.514286	245
Ciapin1	chr8:94819818-94823207	92	29	121	0.760331	1578
Cib1	chr7:80228398-80228548	27	15	42	0.642857	253
Cic	chr7:25292650-25292781	33	36	69	0.478261	422
Cinp	chr12:110883890-110884058	37	44	81	0.45679	308
Cipc	chr12:86961780-86965366	79	37	116	0.681034	234
Cir1	chr2:73286338-73286423	24	33	57	0.421053	204
Cirbp	chr10:80170982-80171653	37	55	92	0.402174	308
Cirh1a	chr8:106922172-106922282	175	108	283	0.618375	1273
Cisd1	chr10:71344724-71344849	31	32	63	0.492063	487
Cisd3	chr11:97685952-97686215	158	55	213	0.741784	444
Cit	chr5:115973728-115973832	11	3	14	0.785714	138
Cited1	chrX:102247378-102248008	3	11	14	0.214286	98
Cited2	chr10:17723228-17723459	13	14	27	0.481481	505
Ckap2	chr8:22185684-22185819	359	421	780	0.460256	915
Ckap2l	chr2:129284857-129286100	97	127	224	0.433036	453
Ckap4	chr10:84526305-84528777	211	351	562	0.375445	541
Ckap5	chr2:91619982-91620665	60	66	126	0.47619	1413
Ckb	chr12:111670873-111671044	567	303	870	0.651724	3953
Cklf	chr8:104261474-104261569	50	2	52	0.961538	88
Ckmt1	chr2:121358641-121359001	11	9	20	0.55	437
Cks1b	chr3:89418155-89418291	202	196	398	0.507538	472
Cks2	chr13:51645232-51645471	109	126	235	0.46383	1041
Clasp1	chr1:118606908-118609462	22	18	40	0.55	263
Clasp2	chr9:113917995-113919697	87	89	176	0.494318	457
Clasrp	chr7:19590239-19590335	24	27	51	0.470588	176
Clca4	chr3:144827298-144827568	0	12	12	0	42
Clcc1	chr3:108678540-108678840	28	21	49	0.571429	137
Clcn2	chr16:20712312-20712390	31	34	65	0.476923	261
Clcn3	chr8:60938548-60938647	30	42	72	0.416667	445
Clcn7	chr17:25160445-25162099	13	6	19	0.684211	222
Cldn12	chr5:5505015-5508454	72	64	136	0.529412	196
Cldn25	chr16:58732839-58734247	64	52	116	0.551724	140
Cldn4	chr5:134945124-134946934	93	82	175	0.531429	512
Clec4a1	chr6:122933778-122934619	44	0	44	1	64
Clhc1	chr4:134522954-134523922	119	67	186	0.639785	172
Clic1	chr17:35052781-35052906	55	81	136	0.404412	548
Clic4	chr4:135272518-135272760	362	436	798	0.453634	792
Clint1	chr11:45908941-45910625	66	59	125	0.528	469
Clk1	chr1:58419667-58421308	26	33	59	0.440678	491
Clk2	chr3:89176394-89177087	23	21	44	0.522727	174
Clk3	chr9:57755252-57755368	15	24	39	0.384615	374
Clk4	chr11:51281109-51281199	14	30	44	0.318182	121
Clmp	chr9:40782307-40784046	9	4	13	0.692308	50
Cln3	chr7:126580793-126580864	27	22	49	0.55102	116
Cln5	chr14:103075828-103077630	48	41	89	0.539326	205
Cln6	chr9:62850617-62852002	23	27	50	0.46	73
Cln8	chr8:14896531-14901719	17	34	51	0.333333	144
Clns1a	chr7:97718219-97720793	64	68	132	0.484848	722
Clock	chr5:76209868-76216878	11	15	26	0.423077	210
Clp1	chr2:84727163-84727268	30	32	62	0.483871	246
Clpb	chr7:101786646-101786750	72	80	152	0.473684	461
Clpp	chr17:56995878-56996371	282	419	701	0.402282	427
Clptm1	chr7:19631580-19633962	2	6	8	0.25	425
Clptm1l	chr13:73620033-73620639	72	74	146	0.493151	389
Clpx	chr9:65322544-65322843	25	33	58	0.431034	244
Clspn	chr4:126593043-126593903	37	38	75	0.493333	202
Clstn1	chr4:149647373-149648899	191	202	393	0.486005	747
Clta	chr4:44032401-44032848	263	103	366	0.718579	1107
Cltb	chr13:54611078-54611272	8	3	11	0.727273	185
Cltc	chr11:86757248-86757492	134	126	260	0.515385	2470
Cluap1	chr16:3940768-3941147	16	11	27	0.592593	129
Cluh	chr11:74667317-74667438	66	71	137	0.481752	816
Cmah	chr13:24469771-24477289	517	20	537	0.962756	5092
Cmas	chr6:142775150-142775714	52	73	125	0.416	296
Cmc1	chr9:118064527-118065348	14	4	18	0.777778	75
Cmc2	chr8:116921351-116921436	125	69	194	0.64433	113
Cmip	chr8:117459329-117461505	43	15	58	0.741379	589
Cmklr1	chr5:113612355-113614940	20	19	39	0.512821	84
Cmpk1	chr4:114986966-114987228	127	120	247	0.51417	465
Cmss1	chr16:57323464-57323543	20	21	41	0.487805	121
Cmtm4	chr8:104348193-104355291	161	98	259	0.621622	541
Cmtm6	chr9:114746439-114749343	189	114	303	0.623762	428
Cmtm7	chr9:114781668-114781993	261	326	587	0.444634	497
Cmtr1	chr17:29702154-29703359	28	27	55	0.509091	462
Cnbp	chr6:87842615-87844156	262	230	492	0.53252	5406
Cndp2	chr18:84685603-84685702	42	97	139	0.302158	781
Cnep1r1	chr8:88133788-88135197	66	40	106	0.622642	156
Cnih1	chr14:46775568-46776549	23	65	88	0.261364	350
Cnih4	chr1:181166181-181168994	26	14	40	0.65	260
Cnn3	chr3:121457082-121458205	890	1068	1958	0.454545	2977
Cnnm3	chr1:36525166-36528237	22	15	37	0.594595	117
Cnot1	chr8:95807333-95807462	523	204	727	0.719395	4238
Cnot10	chr9:114639919-114640200	145	183	328	0.442073	803
Cnot11	chr1:39545069-39546877	100	92	192	0.520833	389
Cnot2	chr10:116498338-116498458	15	13	28	0.535714	711
Cnot3	chr7:3658193-3658391	16	17	33	0.484848	566
Cnot6	chr11:49671497-49675405	17	25	42	0.404762	514
Cnot7	chr8:40507455-40507648	53	48	101	0.524752	424
Cnot8	chr11:58117439-58118594	35	106	141	0.248227	334
Cnp	chr11:100580347-100581739	21	36	57	0.368421	95
Cnpy2	chr10:128327018-128327187	141	125	266	0.530075	522
Cnpy3	chr17:46751973-46752212	53	63	116	0.456897	215
Cnpy4	chr5:138192765-138193894	42	57	99	0.424242	168
Cntrl	chr2:35178397-35178822	40	20	60	0.666667	381
Cntrob	chr11:69309978-69310103	44	39	83	0.53012	147
Coa3	chr11:101277970-101278452	55	40	95	0.578947	169
Coa4	chr7:100539072-100539812	22	36	58	0.37931	53
Coa5	chr1:37417085-37420627	98	143	241	0.406639	495
Coa6	chr8:126425003-126425435	46	19	65	0.707692	174
Coa7	chr4:108338123-108340718	32	20	52	0.615385	232
Coasy	chr11:101086248-101086619	30	32	62	0.483871	149
Cobl	chr11:12375810-12376038	153	216	369	0.414634	670
Cog1	chr11:113662207-113662401	62	32	94	0.659574	200
Cog2	chr8:124551391-124552007	175	41	216	0.810185	371
Cog3	chr14:75742341-75742506	50	50	100	0.5	241
Cog4	chr8:110881731-110882234	185	129	314	0.589172	842
Cog5	chr12:31925645-31925791	43	21	64	0.671875	410
Cog6	chr3:53017046-53017223	29	20	49	0.591837	171
Cog7	chr7:121971280-121971448	25	21	46	0.543478	177
Cog8	chr8:107056261-107056737	24	12	36	0.666667	185
Coil	chr11:88990668-88991613	133	92	225	0.591111	304
Col18a1	chr10:77166439-77166530	100	119	219	0.456621	435
Col4a3bp	chr13:96637118-96640167	18	15	33	0.545455	195
Col9a2	chr4:121054253-121054330	51	50	101	0.50495	201
